연도,시도코드,시도명,시군구코드,시군구명,학교명,학교구분명,수업연한,학위과정명,주야과정명,학과상태명,학과명,학과코드명(7대계열),표준분류계열코드,대학자체계열명,단과대학명,학교학과특성명,주요교과목명,입학정원수,졸업자수,관련직업명,수정일자,데이터기준일자,제공기관코드,제공기관명
2023,11,서울특별시,110,종로구,상명대학교,대학교,4년,학사,주간,기존,SW융합학부,U04110300121,D99999,공학,융합공과대학,일반과정,SW융합개론+SW영어1,0,0,3D그래픽전문가+CG전문가+UI 디자이너+UX 디자이너+VFX전문가+가상현실전문가+게임PD+게임QA전문가+게임그래픽디자이너+게임기자+게임기획자+게임시나리오작가+게임애니메이터+게임일러스트레이터+게임컨셉아트디렉터+게임프로그래머+관광통역안내원+광고 및 홍보전문가+광고기획자+광고디자이너+광고제작감독(CF감독)+그래픽디자이너+다문화사회지도사+데이터베이스개발자+드론콘텐츠제작자+디지털영상처리전문가+라이팅 & 맵핑아티스트+로봇공학기술자+만화가 및 애니메이터+멀티미디어콘텐츠제작전문가+모델러+모바일콘텐츠개발자+모션그래픽아티스트+문화콘텐츠작가+문화콘텐츠전문가+미디어콘텐츠창작자+미술가+미술강사+미술치료사+방송연출가+방송작가+번역가+스마트폰앱개발자+스토리보드아티스트+스토리작가+시나리오 작가+신문기자+아트디렉터(소품·세트)+아티스트+애니메이션 레이아웃아티스트+애니메이션 미술감독(아트디렉터)+애니메이션 배경디자이너+애니메이션 캐릭터디자이너+애니메이션감독+애니메이션기획자+애니메이션시나리오작가+애니메이션원화가+애,2023-02-22,2023-12-27,B340014,한국대학교육협의회
2023,11,서울특별시,110,종로구,상명대학교,대학교,4년,학사,주간,기존,SW융합학부 게임전공,U04080200219,D15089,자연과학,융합공과대학,일반과정,게임시스템구조의이해+게임시스템디자인+게임스토리텔링+고급게임소프트웨어개발+지능형혼합현실+산업현장인턴십+게임프로그래밍입문+게임학개론+C프로그래밍+게임수학+JAVA프로그래밍+게임컨셉디자인+콘텐츠서비스디자인+확률과통계+게임자료구조+일본게임분석과디지털스토리텔링+게임과저작권 +게임소프트웨어개발1+콘텐츠서비스개발1+알고리즘+게임서버프로그래밍입문+콘텐츠서비스개발2+게임소프트웨어개발2+콘텐츠기획및프리젠테이션+콘텐츠비즈니스+게임심리학+게임인공지능+캡스톤디자인1+게임특강+캡스톤디자인2,35,23,게임PD+게임QA전문가+게임기자+게임기획자+게임시나리오작가+게임프로그래머+응용소프트웨어개발자+컴퓨터프로그래머,2023-02-22,2023-12-27,B340014,한국대학교육협의회
2023,11,서울특별시,110,종로구,상명대학교,대학교,4년,학사,주간,기존,SW융합학부 애니메이션전공,U07020200100,C12137,예체능,융합공과대학,일반과정,캐릭터디자인+애니메이션기초+모델링기초+라이팅과렌더링+3D캐릭터모델과리깅+영상편집디자인+실감애니메이션+디지털그래픽기초+애니메이션테크닉+CGI포트폴리오+애니메이션워크샵+영상MatchmovingCGI+애니메이션스토리텔링+컨텐트기획과네러티브연출+게임엔진을활용한애니메이션제작1+디지털캐릭터스튜디오2+실험스튜디오1+애니메이션AssetCGI+애니메이션기획과넌리니어스토리텔링+게임엔진을활용한애니메이션제작2+인터랙티브컨텐트분석과기획+Game/VR애니메이션+인터렉티브CGI_기초+애니메이션사+실험스튜디오2+3Deffect+인터렉티브CGI_캡스톤+인턴쉽+디지털캐릭터스튜디오1+스토리워크샵+CGI프로덕션,23,0,3D그래픽전문가+CG전문가+UI 디자이너+UX 디자이너+VFX전문가+가상현실전문가+게임그래픽디자이너+게임기획자+게임애니메이터+게임일러스트레이터+게임컨셉아트디렉터+광고디자이너+광고제작감독(CF감독)+그래픽디자이너+드론콘텐츠제작자+디지털영상처리전문가+라이팅 & 맵핑아티스트+만화가 및 애니메이터+멀티미디어콘텐츠제작전문가+모델러+모션그래픽아티스트+문화콘텐츠작가+미디어콘텐츠창작자+미술가+미술강사+미술치료사+스토리보드아티스트+스토리작가+아트디렉터(소품·세트)+아티스트+애니메이션 레이아웃아티스트+애니메이션 미술감독(아트디렉터)+애니메이션 배경디자이너+애니메이션 캐릭터디자이너+애니메이션감독+애니메이션기획자+애니메이션시나리오작가+애니메이션원화가+애니메이션프로듀서+애니메이터+영상그래픽디자이너+영상녹화 및 편집기사+영상콘텐츠제작전문가+예능계강사+웹 및 멀티미디어 디자이너+웹디자이너+웹마스터+웹방송전문가+일러스트레이터+캐릭터디자이너+컨셉디자이너+콘셉아티스트+콘텐츠 기획자+팬시 및 완구디자이너+팬시상품디자,2023-02-22,2023-12-27,B340014,한국대학교육협의회
2023,11,서울특별시,110,종로구,상명대학교,대학교,4년,학사,주간,기존,SW융합학부 전기공학전공,U04050100085,D15084,공학,융합공과대학,일반과정,에너지분석+전기설비기술기준+응용프로그래밍실습+임베디드프로그래밍+전기회로실험+신재생에너지공학+신재생에너지실험+전기기기실험+최적화이론+에너지시스템설계+전력변환디바이스+창의적종합설계(캡스톤디자인)+전력경제+전기회로1+미적분학+공업수학+전기회로2+전력공학1+신호해석이론+전자기학+전력공학2+논리회로+전기기기+전력전자+자동제어+발전공학+에너지시스템과AI+수치해석+계측및제어+스마트그리드특론,36,38,대체에너지개발기술자+대체에너지개발연구원+발전설비기술자+변리사+송배전설비기술자+시스템엔지니어+전기계측제어기술자+전기공학기술자+전기안전기술자,2023-02-22,2023-12-27,B340014,한국대학교육협의회
2023,11,서울특별시,110,종로구,상명대학교,대학교,4년,학사,주간,기존,SW융합학부 지능IOT융합전공,U04050200199,D15085,공학,융합공과대학,일반과정,헬스케어와IOT+캡스톤디자인2+프로그래밍+미적분학+이산수학+확률론+논리회로설계+IOT센서기초+신호및시스템+컴퓨터구조+선형대수학+자료구조+객체지향프로그래밍+지능IOT개론+디지털신호처리+데이터통신+마이크로프로세서+유닉스시스템+인공지능과빅데이터+통신공학+멀티미디어신호처리+지능형영상처리+IOT보안+지능형오디오처리+패턴인식+멀티미디어데이터분석+실시간커널+컴퓨터네트워크+캡스톤디자인1+임베디드시스템+컴퓨터비전,32,0,네트워크엔지니어+디지털영상처리전문가+시스템소프트웨어개발자+음향신호처리기술연구원+컴퓨터프로그래머+통신공학기술자,2023-02-22,2023-12-27,B340014,한국대학교육협의회
2023,11,서울특별시,110,종로구,상명대학교,대학교,4년,학사,주간,기존,SW융합학부 컴퓨터과학전공,U04080100333,D15090,자연과학,융합공과대학,일반과정,ICT공학설계I+ICT공학설계II+공학설계입문+통계적분석+인공지능+GPU프로그래밍+데이터모델링과마이닝+지능형사용자인터페이스+네트워크보안+클라우드플랫폼+파이썬프로그래밍+컴퓨터수학+선형대수학1+C프로그래밍1+이산수학+논리회로+선형대수학2+자료구조+C프로그래밍2+컴퓨터구조+시스템소프트웨어+알고리즘+정보보호+객체지향프로그래밍+데이터베이스+디지털신호처리+컴퓨터네트워크+소프트웨어공학+운영체제+데이터통신+분산시스템+프로그래밍언어론+유닉스프로그래밍+고급객체지향프로그래밍+캡스톤디자인1+빅데이터와딥러닝+클라우드프로그래밍+캡스톤디자인2,90,111,응용소프트웨어개발자+컴퓨터프로그래머,2023-02-22,2023-12-27,B340014,한국대학교육협의회
2023,11,서울특별시,110,종로구,상명대학교,대학교,4년,학사,주간,기존,SW융합학부 한일문화콘텐츠전공,U01020200139,A02999,인문사회,융합공과대학,일반과정,문화콘텐츠입문+문화여행과SW콘텐츠기획+여가콘텐츠와일본현대문화+이문화커뮤니케이션+R을활용한빅데이터기반문화콘텐츠분석+한일문화와웹페이지및기타콘텐츠제작(캡스톤디자인)+동영상플랫폼과콘텐츠문화+문화융합과커뮤니케이션+문화트렌드일본어+문화콘텐츠와인공지능+미디어믹스+비즈니스일본어실습+문화콘텐츠마케팅+일본문화의이해+베이직일본어1+콘텐츠기획과문화융합+베이직일본어2+언어와컴퓨터+한일대중문화콘텐츠의이해+한일언어와행동문화+커뮤니케이션일본어1+커뮤니케이션일본어2+추리텍스트의미디어콘텐츠활용+일본게임분석과디지털스토리텔링+일본애니메이션분석과스토리텔링+ICT활용일본어실습+한일영상문화비교+매스미디어일본어+동아시아공연예술+한일콘텐츠산업과브랜드분석+영상콘텐츠제작과한일문화교류(캡스톤디자인)+미디어스토리텔링,27,0,관광통역안내원+광고 및 홍보전문가+광고기획자+다문화사회지도사+문화콘텐츠전문가+방송연출가+방송작가+번역가+시나리오 작가+신문기자+여행상품개발자+영상콘텐츠제작전문가+행사기획자,2023-02-22,2023-12-27,B340014,한국대학교육협의회
2023,11,서울특별시,110,종로구,상명대학교,대학교,4년,학사,주간,기존,SW융합학부(예체능),U07020300300,C99999,예체능,융합공과대학,일반과정,,0,0,3D그래픽전문가+CG전문가+UI 디자이너+UX 디자이너+VFX전문가+가상현실전문가+게임PD+게임QA전문가+게임그래픽디자이너+게임기자+게임기획자+게임시나리오작가+게임애니메이터+게임일러스트레이터+게임컨셉아트디렉터+게임프로그래머+관광통역안내원+광고 및 홍보전문가+광고기획자+광고디자이너+광고제작감독(CF감독)+그래픽디자이너+다문화사회지도사+데이터베이스개발자+드론콘텐츠제작자+디지털영상처리전문가+라이팅 & 맵핑아티스트+로봇공학기술자+만화가 및 애니메이터+멀티미디어콘텐츠제작전문가+모델러+모바일콘텐츠개발자+모션그래픽아티스트+문화콘텐츠작가+문화콘텐츠전문가+미디어콘텐츠창작자+미술가+미술강사+미술치료사+방송연출가+방송작가+번역가+스마트폰앱개발자+스토리보드아티스트+스토리작가+시나리오 작가+신문기자+아트디렉터(소품·세트)+아티스트+애니메이션 레이아웃아티스트+애니메이션 미술감독(아트디렉터)+애니메이션 배경디자이너+애니메이션 캐릭터디자이너+애니메이션감독+애니메이션기획자+애니메이션시나리오작가+애니메이션원화가+애,2023-02-22,2023-12-27,B340014,한국대학교육협의회
2023,11,서울특별시,110,종로구,상명대학교,대학교,4년,학사,주간,기존,SW융합학부(인문사회),U01020800274,A99999,인문사회,융합공과대학,일반과정,,0,0,3D그래픽전문가+CG전문가+UI 디자이너+UX 디자이너+VFX전문가+가상현실전문가+게임PD+게임QA전문가+게임그래픽디자이너+게임기자+게임기획자+게임시나리오작가+게임애니메이터+게임일러스트레이터+게임컨셉아트디렉터+게임프로그래머+관광통역안내원+광고 및 홍보전문가+광고기획자+광고디자이너+광고제작감독(CF감독)+그래픽디자이너+다문화사회지도사+데이터베이스개발자+드론콘텐츠제작자+디지털영상처리전문가+라이팅 & 맵핑아티스트+로봇공학기술자+만화가 및 애니메이터+멀티미디어콘텐츠제작전문가+모델러+모바일콘텐츠개발자+모션그래픽아티스트+문화콘텐츠작가+문화콘텐츠전문가+미디어콘텐츠창작자+미술가+미술강사+미술치료사+방송연출가+방송작가+번역가+스마트폰앱개발자+스토리보드아티스트+스토리작가+시나리오 작가+신문기자+아트디렉터(소품·세트)+아티스트+애니메이션 레이아웃아티스트+애니메이션 미술감독(아트디렉터)+애니메이션 배경디자이너+애니메이션 캐릭터디자이너+애니메이션감독+애니메이션기획자+애니메이션시나리오작가+애니메이션원화가+애,2023-02-22,2023-12-27,B340014,한국대학교육협의회
2023,11,서울특별시,110,종로구,상명대학교,대학교,4년,학사,주간,기존,SW융합학부(자연과학),U05040600094,B99999,자연과학,융합공과대학,일반과정,,0,0,3D그래픽전문가+CG전문가+UI 디자이너+UX 디자이너+VFX전문가+가상현실전문가+게임PD+게임QA전문가+게임그래픽디자이너+게임기자+게임기획자+게임시나리오작가+게임애니메이터+게임일러스트레이터+게임컨셉아트디렉터+게임프로그래머+관광통역안내원+광고 및 홍보전문가+광고기획자+광고디자이너+광고제작감독(CF감독)+그래픽디자이너+다문화사회지도사+데이터베이스개발자+드론콘텐츠제작자+디지털영상처리전문가+라이팅 & 맵핑아티스트+로봇공학기술자+만화가 및 애니메이터+멀티미디어콘텐츠제작전문가+모델러+모바일콘텐츠개발자+모션그래픽아티스트+문화콘텐츠작가+문화콘텐츠전문가+미디어콘텐츠창작자+미술가+미술강사+미술치료사+방송연출가+방송작가+번역가+스마트폰앱개발자+스토리보드아티스트+스토리작가+시나리오 작가+신문기자+아트디렉터(소품·세트)+아티스트+애니메이션 레이아웃아티스트+애니메이션 미술감독(아트디렉터)+애니메이션 배경디자이너+애니메이션 캐릭터디자이너+애니메이션감독+애니메이션기획자+애니메이션시나리오작가+애니메이션원화가+애,2023-02-22,2023-12-27,B340014,한국대학교육협의회
